Season,Round,Week,Day,Date,Time,Home,xG_Home,Score,xG_Away,Away,Attendance,Venue,Referee,Match Report
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Roma it,1.9,1–0,0.4,az Qarabağ,"34,258",Stadio Olimpico,Tobias Stieler,650bd686
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Bayern Munich de,1.8,3–1,1.9,fr Paris S-G,"70,000",Allianz Arena,Cüneyt Çakιr,a85a1960
2017,Group stage,6,Tue,2017-12-05,21:45 (02:45),Olympiacos gr,1.0,0–2,1.5,it Juventus,"29,567",Stadio Georgios Karaiskáki,David Fernández,9d8cdd1c
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Tottenham eng,2.3,3–0,0.6,cy APOEL FC,"42,679",Wembley Stadium,Slavko Vinčić,24867db8
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Porto pt,1.9,5–2,1.7,fr Monaco,"42,509",Estádio Do Dragão,Jonas Eriksson,a061be65
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Liverpool eng,4.2,7–0,0.6,ru Spartak Moscow,"48,779",Anfield,Szymon Marciniak,f29c456d
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),RB Leipzig de,3.0,1–2,1.8,tr Beşiktaş,"42,558",Red Bull Arena,Viktor Kassai,5b3b51d4
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),Feyenoord nl,0.7,2–1,1.3,it Napoli,"36,500",Stadion Feijenoord,Michael Oliver,6bc20ec5
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),NK Maribor si,0.8,1–1,1.7,es Sevilla,"11,976",Ljudski vrt,Ovidiu Hațegan,6c13565f
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),Real Madrid es,2.7,3–2,1.7,de Dortmund,"73,323",Estadio Santiago Bernabéu,Pavel Královec,d452d633
2017,Group stage,6,Wed,2017-12-06,21:45 (02:45),Shakhtar ua,1.7,2–1,1.7,eng Manchester City,"33,154",Oblasny SportKomplex Metalist,Benoît Bastien,78553112
2017,,,,,,,,,,,,,,
2017,Round of 16,,Tue,2018-02-13,20:45 (02:45),Basel ch,1.0,0–4,0.7,eng Manchester City,"36,000",St. Jakob-Park,Jonas Eriksson,8d69f9ef
2017,Round of 16,,Tue,2018-02-13,20:45 (02:45),Juventus it,2.5,2–2,1.8,eng Tottenham,"41,232",Allianz Stadium,Felix Brych,defe3968
2017,Round of 16,,Wed,2018-02-14,19:45 (02:45),Porto pt,0.5,0–5,2.6,eng Liverpool,"47,718",Estádio Do Dragão,Daniele Orsato,aa5247eb
2017,Round of 16,,Wed,2018-02-14,20:45 (02:45),Real Madrid es,2.4,3–1,1.0,fr Paris S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,9ec5ce7a
2017,Round of 16,,Tue,2018-02-20,19:45 (02:45),Chelsea eng,0.5,1–1,0.6,es Barcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,e29357ad
2017,Round of 16,,Tue,2018-02-20,20:45 (02:45),Bayern Munich de,4.9,5–0,0.3,tr Beşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,43d0aecf
2017,Round of 16,,Wed,2018-02-21,20:45 (02:45),Sevilla es,2.0,0–0,0.7,eng Manchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,d3970c11
2017,Round of 16,,Wed,2018-02-21,21:45 (02:45),Shakhtar ua,1.7,2–1,1.8,it Roma,"35,124",Oblasny SportKomplex Metalist,William Collum,48f88082
2017,Round of 16,,Tue,2018-03-06,19:45 (02:45),Liverpool eng,1.6,0–0,0.6,pt Porto,"48,768",Anfield,Felix Zwayer,a4c4c6cc
2017,Round of 16,,Tue,2018-03-06,20:45 (02:45),Paris S-G fr,1.1,1–2,2.2,es Real Madrid,"46,585",Parc des Princes,Felix Brych,9bdff23e
2017,Round of 16,,Wed,2018-03-07,19:45 (02:45),Tottenham eng,1.7,1–2,1.5,it Juventus,"84,010",Wembley Stadium,Szymon Marciniak,19a6e95f
2017,Round of 16,,Wed,2018-03-07,19:45 (02:45),Manchester City eng,1.6,1–2,0.6,ch Basel,"49,411",Etihad Stadium,Pavel Královec,35540190
2017,Round of 16,,Tue,2018-03-13,19:45 (02:45),Manchester Utd eng,1.9,1–2,1.7,es Sevilla,"74,909",Old Trafford,Danny Makkelie,c794989a
2017,Round of 16,,Tue,2018-03-13,20:45 (02:45),Roma it,0.7,1–0,0.2,ua Shakhtar,"47,693",Stadio Olimpico,Alberto Undiano,7d227d55
2017,Round of 16,,Wed,2018-03-14,20:00 (00:00),Beşiktaş tr,1.2,1–3,2.1,de Bayern Munich,"36,885",Vodafone Arena,Michael Oliver,db080732
2017,Round of 16,,Wed,2018-03-14,20:45 (02:45),Barcelona es,1.0,3–0,0.7,eng Chelsea,"97,183",Camp Nou,Damir Skomina,37029ff4
2017,Quarter-finals,,Tue,2018-04-03,20:45 (01:45),Sevilla es,0.9,1–2,1.4,de Bayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,0c836452
2017,Quarter-finals,,Tue,2018-04-03,20:45 (01:45),Juventus it,1.6,0–3,3.1,es Real Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,4f057387
2017,Quarter-finals,,Wed,2018-04-04,19:45 (01:45),Liverpool eng,1.6,3–0,0.6,eng Manchester City,"50,685",Anfield,Felix Brych,7f1b8f75
2017,Quarter-finals,,Wed,2018-04-04,20:45 (01:45),Barcelona es,1.9,4–1,1.7,it Roma,"90,106",Camp Nou,Danny Makkelie,ed570f1a
2017,Quarter-finals,,Tue,2018-04-10,19:45 (01:45),Manchester City eng,1.2,1–2,0.8,eng Liverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,d838d566
2017,Quarter-finals,,Tue,2018-04-10,20:45 (01:45),Roma it,2.7,3–0,0.9,es Barcelona,"56,580",Stadio Olimpico,Clément Turpin,facc75fa
2017,Quarter-finals,,Wed,2018-04-11,20:45 (01:45),Bayern Munich de,1.2,0–0,0.6,es Sevilla,"70,000",Allianz Arena,William Collum,215e3753
2017,Quarter-finals,,Wed,2018-04-11,20:45 (01:45),Real Madrid es,2.7,1–3,2.7,it Juventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,ef2140d3
2017,Semi-finals,,Tue,2018-04-24,19:45 (01:45),Liverpool eng,3.7,5–2,1.9,it Roma,"51,236",Anfield,Felix Brych,a2f4d0d5
2017,Semi-finals,,Wed,2018-04-25,20:45 (01:45),Bayern Munich de,1.9,1–2,0.7,es Real Madrid,"70,000",Allianz Arena,Björn Kuipers,f5ca2565
2017,Semi-finals,,Tue,2018-05-01,20:45 (01:45),Real Madrid es,1.8,2–2,3.0,de Bayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,38beee5e
2017,Semi-finals,,Wed,2018-05-02,20:45 (01:45),Roma it,2.4,4–2,1.6,eng Liverpool,"61,889",Stadio Olimpico,Damir Skomina,089590e2
2017,Final,,Sat,2018-05-26,21:45 (01:45),Real Madrid es,1.5,3–1,1.9,eng Liverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,8f71b212
