Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,a274dccb,Andreas Makris,cy CYP,FW,eab315a6,cy APOEL FC,1995
2017,16b9d5cf,Nikola Maksimović,rs SRB,DF,d48ad4ff,it Napoli,1991
2017,6b6c793c,Tyrell Malacia,nl NED,DF,fb4ca611,nl Feyenoord,1999
2017,afa0d4e0,Mario Mandžukić,hr CRO,FW,e0652b02,it Juventus,1986
2017,c691bfe2,Sadio Mané,sn SEN,"FW,MF",822bd0ba,eng Liverpool,1992
2017,f520049f,Eliaquim Mangala,fr FRA,DF,b8fd03ef,eng Manchester City,1991
2017,c707411f,Kostas Manolas,gr GRE,DF,cf74a709,it Roma,1991
2017,7a20d90a,Iván Marcano,es ESP,DF,5e876ee6,pt Porto,1987
2017,603116a7,Marcelo,br BRA,DF,53a2f082,es Real Madrid,1988
2017,e304acd5,Claudio Marchisio,it ITA,FW,e0652b02,it Juventus,1986
2017,05a84d52,Moussa Marega,ml MLI,FW,5e876ee6,pt Porto,1991
2017,f0da930c,José María Giménez,uy URU,DF,db3b9613,es Atlético Madrid,1995
2017,a022e78c,Marko Marin,de GER,"FW,MF",2fdb4aef,gr Olympiacos,1989
2017,9139bb12,Marlos,ua UKR,FW,e89d5a28,ua Shakhtar,1988
2017,d5f2f82b,Marquinhos,br BRA,DF,e2d8892c,fr Paris S-G,1994
2017,8b788c01,Anthony Martial,fr FRA,"FW,MF",19538871,eng Manchester Utd,1995
2017,7f97771d,Javi Martínez,es ESP,"MF,DF",054efa67,de Bayern Munich,1988
2017,3ef0fa48,Gelson Martins,pt POR,FW,13dc44fd,pt Sporting CP,1995
2017,5070881b,Javier Mascherano,ar ARG,DF,206d90db,es Barcelona,1984
2017,29733c72,Juan Mata,es ESP,"FW,MF",19538871,eng Manchester Utd,1988
2017,5b887c7a,Jérémy Mathieu,fr FRA,DF,13dc44fd,pt Sporting CP,1983
2017,eb7822d7,Nemanja Matić,rs SRB,MF,19538871,eng Manchester Utd,1988
2017,b217ef29,Joël Matip,cm CMR,DF,822bd0ba,eng Liverpool,1991
2017,c0cddebe,Blaise Matuidi,fr FRA,MF,e0652b02,it Juventus,1987
2017,64e8ed6d,Borja Mayoral,es ESP,FW,53a2f082,es Real Madrid,1997
2017,42fd9c7f,Kylian Mbappé,fr FRA,FW,e2d8892c,fr Paris S-G,1998
2017,8325870c,Kara Mbodji,sn SEN,DF,08ad393c,be Anderlecht,1989
2017,6800f515,Callum McGregor,sct SCO,MF,b81aa4fa,sct Celtic,1993
2017,d93c2511,Scott McTominay,sct SCO,MF,19538871,eng Manchester Utd,1996
2017,563a68ad,Gary Medel,cl CHI,"DF,MF",0f9294bd,tr Beşiktaş,1987
2017,e66e4ddc,Maksim Medvedev,az AZE,DF,44b65410,az Qarabağ,1989
2017,5cec2c74,Soualiho Meïté,fr FRA,MF,fd6114db,fr Monaco,1994
2017,f346787e,Lorenzo Melgarejo,py PAR,"FW,MF",8c635914,ru Spartak Moscow,1990
2017,5271c8f1,Benjamin Mendy,fr FRA,DF,b8fd03ef,eng Manchester City,1994
2017,bf97c188,Gabriel Mercado,ar ARG,DF,ad2be733,es Sevilla,1987
2017,63c3659d,Giorgos Merkis,cy CYP,DF,eab315a6,cy APOEL FC,1984
2017,89b2c8a9,Dries Mertens,be BEL,FW,d48ad4ff,it Napoli,1987
2017,489a73e9,Jasmin Mešanović,ba BIH,"FW,MF",2aae7689,si NK Maribor,1992
2017,d70ce98e,Lionel Messi,ar ARG,FW,206d90db,es Barcelona,1987
